;ctryname;year;democracy
1;Antigua & Barbuda;2008;1
2;Argentina;1980;0
3;Argentina;2008;1
4;Bahamas;1980;1
5;Bahamas;2008;1
6;Barbados;1980;1
7;Barbados;2008;1
8;Belize;2008;1
9;Bolivia;1980;0
10;Bolivia;2008;1
11;Brazil;1980;0
12;Brazil;2008;1
13;Chile;1980;0
14;Chile;2008;1
15;Colombia;1980;1
16;Colombia;2008;1
17;Costa Rica;1980;1
18;Costa Rica;2008;1
19;Cuba;1980;0
20;Cuba;2008;0
21;Dominica;1980;1
22;Dominica;2008;1
23;Dominican Republic;1980;1
24;Dominican Republic;2008;1
25;Ecuador;1980;1
26;Ecuador;2008;1
27;El Salvador;1980;0
28;El Salvador;2008;1
29;Grenada;1980;0
30;Grenada;2008;1
31;Guatemala;1980;1
32;Guatemala;2008;1
33;Guyana;1980;0
34;Guyana;2008;0
35;Haiti;1980;0
36;Haiti;2008;0
37;Honduras;1980;0
38;Honduras;2008;1
39;Jamaica;1980;1
40;Jamaica;2008;1
41;Mexico;1980;0
42;Mexico;2008;1
43;Nicaragua;1980;0
44;Nicaragua;2008;1
45;Panama;1980;0
46;Panama;2008;1
47;Paraguay;1980;0
48;Paraguay;2008;1
49;Peru;1980;1
50;Peru;2008;1
51;St. Kitts and Nevis;2008;1
52;St. Lucia;1980;1
53;St. Lucia;2008;1
54;St. Vincent and the Grenadines;1980;1
55;St. Vincent and the Grenadines;2008;1
56;Suriname;1980;0
57;Suriname;2008;1
58;Trinidad and Tobago;1980;1
59;Trinidad and Tobago;2008;1
60;Uruguay;1980;0
61;Uruguay;2008;1
62;Venezuela;1980;1
63;Venezuela;2008;1
