,ctryname,democracy
1,Antigua & Barbuda,1
2,Argentina,1
3,Bahamas,1
4,Barbados,1
5,Belize,1
6,Bolivia,1
7,Brazil,1
8,Chile,1
9,Colombia,1
10,Costa Rica,1
11,Cuba,0
12,Dominica,1
13,Dominican Republic,1
14,Ecuador,1
15,El Salvador,1
16,Grenada,1
17,Guatemala,1
18,Guyana,0
19,Haiti,0
20,Honduras,1
21,Jamaica,1
22,Mexico,1
23,Nicaragua,1
24,Panama,1
25,Paraguay,1
26,Peru,1
27,St. Kitts and Nevis,1
28,St. Lucia,1
29,St. Vincent and the Grenadines,1
30,Suriname,1
31,Trinidad and Tobago,1
32,Uruguay,1
33,Venezuela,1
